Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality,Crop_Type_Corn,Crop_Type_Cotton,Crop_Type_Potato,Crop_Type_Rice,Crop_Type_Soybean,Crop_Type_Sugarcane,Crop_Type_Sunflower,Crop_Type_Tomato,Crop_Type_Wheat,Soil_Type_Loamy,Soil_Type_Peaty,Soil_Type_Saline,Soil_Type_Sandy
8.0,19.062629111970992,80.0,14.068720085712467,71.5,55.0,40.5,52.589621860831095,13.916666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,20.01766448946012,79.98233551053988,7.19871147726385,65.0,60.50000000000001,49.50000000000001,65.93659541111212,14.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5.5,13.504963247670664,80.0,15.382842529025758,66.0,49.50000000000001,35.0,22.325126643223808,25.08333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.5,18.71855641885613,80.0,12.114943933998164,70.0,60.0,50.0,81.29906551707641,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.25,17.507241657624025,80.0,13.474559958796084,54.0,50.0,44.0,54.13286650296527,43.16666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,16.572564479315858,80.0,12.887923869999106,60.50000000000001,49.50000000000001,42.0,39.1232360605833,25.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.5,17.304778077101467,80.0,13.821200860418667,70.0,54.0,50.0,19.466158350497768,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6.75,10.64847522719463,80.0,8.480070341105428,55.00000000000001,40.0,27.0,3.2656457465653888,35.58333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.75,29.718317082406426,70.28168291759357,8.971856450419692,50.0,44.0,33.0,1.4646000454946262,37.04166666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6.5,16.074694150473775,80.0,3.933055200412795,77.0,60.0,45.0,50.06652544236726,60.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6.75,22.019793693296467,77.98020630670354,7.461948950632882,60.0,44.0,30.0,46.616259561457184,39.08333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.0,16.724511675223642,80.0,13.711048218809385,65.0,55.0,45.0,33.29445898862128,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.5,21.15889188358055,78.84110811641945,6.034369148099684,77.0,66.0,60.0,83.74058544645528,67.66666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,22.02602652939094,77.97397347060905,14.17697726047571,84.5,66.0,54.0,45.86014921579415,17.041666666666668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.75,15.384474742922857,80.0,10.084298390044603,50.0,36.0,30.0,1.864858226250708,33.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8.0,12.917718182243124,80.0,12.572509754764337,71.5,55.0,40.5,18.27876325168955,13.916666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.5,10.2426412467598,80.0,7.839106021423561,70.0,66.0,55.00000000000001,2.254674208267196,63.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6.75,10.402878828830984,80.0,14.649803215052618,55.00000000000001,40.0,27.0,2.1518180130853373,35.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6.25,13.389692418971622,80.0,12.44055165210901,72.0,55.00000000000001,40.0,23.579096656968137,48.70833333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,15.065169498832754,80.0,11.133308775919277,78.0,60.0,44.0,0.5669297945276307,53.08333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,17.507981826730862,80.0,8.195808263284821,70.0,60.0,50.0,61.85110775554646,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.5,17.60970782808449,80.0,10.890954019699558,63.0,60.0,55.00000000000001,69.42289755965098,59.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.5,16.732241047484877,80.0,10.678864808496623,60.50000000000001,49.50000000000001,42.0,44.40061127922674,25.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.5,17.834470353935437,80.0,9.506498697514289,91.0,72.0,60.0,31.152430971059463,74.33333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.75,14.97571527674485,80.0,8.85003008120229,55.00000000000001,40.0,27.0,27.500607590476307,35.58333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.5,26.366725790087408,73.6332742099126,10.44092395137165,60.50000000000001,45.0,31.5,20.60231825170257,22.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6.5,15.065009459389534,80.0,14.360602231471953,91.0,72.0,55.00000000000001,0.6898494419046514,72.66666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,28.600845832948096,71.3991541670519,9.985912015979322,65.0,55.0,45.0,6.483882013014096,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.5,15.209900322350114,80.0,9.588184548706552,49.5,45.0,38.5,27.372616072547128,22.166666666666668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.0,18.70170408973869,80.0,11.009196291358757,71.5,60.50000000000001,54.0,56.93490185108868,15.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.25,19.28199397161736,80.0,12.13032772109186,60.0,45.0,40.0,29.764974326685262,42.29166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6.25,18.175562754509897,80.0,6.759397389878544,66.0,50.0,36.0,51.32034861311793,44.33333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,11.246190784661636,80.0,11.07336208104485,60.0,55.00000000000001,44.0,9.939658216534644,46.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.75,17.093197345863008,80.0,7.81546225191,55.00000000000001,40.0,27.0,33.69840395636187,35.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6.25,17.338585387490586,80.0,10.913347359612558,72.0,55.00000000000001,40.0,59.71061900499655,48.70833333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,11.564124123337448,80.0,5.318328782688193,55.0,45.0,35.0,10.135818324693346,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.5,26.573292833367542,73.42670716663245,4.398204422224756,63.0,60.0,55.00000000000001,31.906967721267574,59.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,17.5934722885889,80.0,8.876435322728591,65.0,49.5,45.0,12.608628737682553,13.291666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6.5,21.81717745475852,78.18282254524148,12.486297932814624,77.0,60.0,45.0,74.5764475921633,60.66666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.5,17.210370084333658,80.0,8.014640605694836,70.0,66.0,55.00000000000001,74.72880792976522,63.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5.5,10.712255571694495,80.0,12.520016129867289,60.50000000000001,45.0,31.5,4.598427035828945,22.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6.75,11.612921661426215,80.0,8.997258726548896,60.0,44.0,30.0,9.939936909801649,39.08333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.0,26.224033030052816,73.77596696994718,6.019504701592309,65.0,55.0,45.0,25.40515212452463,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.5,10.92364531739038,80.0,11.331458284438686,60.50000000000001,49.50000000000001,42.0,6.05077969634733,25.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.25,15.009068055973382,80.0,12.267805845374957,66.0,50.0,36.0,43.15821942372489,44.33333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,17.069374186254038,80.0,10.209406254970055,60.0,55.00000000000001,44.0,51.33420343375804,46.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,18.039192701674025,80.0,13.097538378483645,77.0,60.0,45.0,65.58931209911634,60.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
8.0,16.021414710006646,80.0,12.060545538297912,78.0,60.50000000000001,45.0,38.94700430472387,15.291666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.5,17.507133785130407,80.0,13.181915736464232,91.0,72.0,55.00000000000001,25.49960002176692,72.66666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.5,10.659578872977562,80.0,10.842975603205096,55.0,45.0,35.0,3.339937412435889,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.5,21.40960190157101,78.59039809842899,8.133288505281163,77.0,66.0,60.0,84.09294491993916,67.66666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,17.647177558269014,80.0,9.448324786815938,84.5,66.0,54.0,18.77649982530085,17.041666666666668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.75,24.352119489077587,75.64788051092242,15.064051097106743,55.00000000000001,40.0,27.0,30.71580272764917,35.58333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.75,16.913997335753933,80.0,7.992391815456361,50.0,44.0,33.0,46.55497714190161,37.04166666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8.0,18.82239117662856,80.0,6.6665085617677065,71.5,55.0,40.5,47.1186396895767,13.916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6.75,18.952969947120728,80.0,9.022080577055531,60.0,44.0,30.0,75.52870067180932,39.08333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.75,18.40976485647482,80.0,9.069199730219632,65.0,48.0,33.0,24.41326635337319,42.58333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.5,14.349284728161576,80.0,15.736952919519911,55.0,45.0,35.0,25.98794450843104,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.0,16.009537209013978,80.0,7.585789944773512,58.5,55.0,49.50000000000001,29.34521689300253,13.583333333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,16.346588271262693,80.0,11.872359451156466,71.5,60.50000000000001,54.0,43.91238015176775,15.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,16.622591581872776,80.0,15.02587974900466,84.5,66.0,54.0,12.646138870181147,17.041666666666668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.75,17.480321166129375,80.0,8.70008977929232,50.0,36.0,30.0,13.945125375071612,33.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5.5,16.1874262581097,80.0,10.869648434611378,55.0,49.50000000000001,38.5,34.729450166846235,23.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8.0,11.678862783477886,80.0,14.080334098744515,71.5,55.0,40.5,7.813979934924675,13.916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6.25,22.85016140271336,77.14983859728665,7.826998613958702,72.0,55.00000000000001,40.0,46.07741078794234,48.70833333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.75,10.863845282238383,80.0,6.687334634358601,50.0,40.0,30.0,5.298909846807394,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.25,17.288382272144194,80.0,10.67227744543125,66.0,55.00000000000001,48.0,58.581163664269134,49.29166666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,19.21787011390172,80.0,6.801035565280095,84.5,66.0,54.0,28.07067229128127,17.041666666666668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.75,14.2835837064146,80.0,8.198185956251244,55.00000000000001,40.0,27.0,24.058366117294295,35.58333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.25,11.312852667616088,80.0,9.52682812523769,60.0,55.00000000000001,44.0,8.571736478292113,46.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,11.21546954744202,80.0,7.374763531395647,66.0,50.0,36.0,7.61237563110036,44.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.5,11.143972692091433,80.0,11.02526792733148,84.0,66.0,50.0,13.586015126675544,66.66666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.75,23.63873813717129,76.36126186282871,5.522195906752921,65.0,48.0,33.0,56.03769136729424,42.58333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.5,12.982225215765446,80.0,12.225889049588396,70.0,60.0,50.0,30.80338267093942,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.25,12.762859878709309,80.0,4.860596412727368,66.0,55.00000000000001,48.0,25.181591946193155,49.29166666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,16.378175789437037,80.0,10.836169104911985,91.0,72.0,60.0,11.598348403571068,74.33333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,15.026218498590916,80.0,10.140941781294226,71.5,55.0,40.5,28.056033659942344,13.916666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.75,18.11424966173749,80.0,5.8942296533744285,50.0,44.0,33.0,51.570401248477474,37.04166666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6.75,19.46412682149428,80.0,16.18224377464596,60.0,44.0,30.0,70.81319427220555,39.08333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.5,19.389125842400567,80.0,10.70039738944073,70.0,60.0,50.0,91.28471531363144,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.25,20.29212243424794,79.70787756575206,4.723781540730657,54.0,50.0,44.0,60.17106836221294,43.16666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,16.100371644018104,80.0,4.348349532298319,71.5,54.0,42.0,8.086610398029636,27.916666666666668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.25,18.22866394361624,80.0,9.95584522409519,60.0,45.0,40.0,24.00842334658653,42.29166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5.5,18.736840158059007,80.0,9.127923075906873,60.50000000000001,45.0,31.5,57.71723263224417,22.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6.25,13.403199962331708,80.0,5.903005640549033,72.0,55.00000000000001,40.0,28.35676471691437,48.70833333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,17.572944953452698,80.0,13.613905217727476,54.0,50.0,44.0,57.7702260869124,43.16666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.75,11.89818138732224,80.0,10.534385277283194,55.00000000000001,44.0,36.0,12.215463942046888,39.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.25,15.960451903163246,80.0,14.791338167562431,78.0,60.0,48.0,8.270975547813732,54.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,15.63717203334045,80.0,12.554206277136489,70.0,54.0,50.0,4.995744660303705,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6.5,10.138657261379642,80.0,10.238447355452616,77.0,60.0,45.0,1.4540496907469922,60.66666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.5,26.871647017461942,73.12835298253806,13.043598078061894,71.5,54.0,38.5,49.70108774536169,27.33333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.5,22.910190914818894,77.0898090851811,5.430771283358941,70.0,60.0,50.0,56.56051919523635,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.5,19.63088773765821,80.0,15.728249921410391,49.5,45.0,38.5,44.07057680234768,22.166666666666668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.0,17.814846183452854,80.0,8.625670291505871,71.5,60.50000000000001,54.0,47.68993161560262,15.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.5,18.98742102239157,80.0,10.435612180856374,71.5,54.0,42.0,31.511632367525827,27.916666666666668,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.25,19.665060701941748,80.0,7.714795252816541,66.0,50.0,36.0,65.84216136406593,44.33333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,16.29861250860741,80.0,7.2870501246867745,60.50000000000001,45.0,31.5,36.72058760108772,22.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8.0,18.8012554731768,80.0,17.16963481665497,65.0,55.0,45.0,47.7551777576204,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.5,17.8853606359027,80.0,9.390863841871022,63.0,60.0,55.00000000000001,72.78440062298728,59.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.75,11.980074066420896,80.0,8.474782135318742,55.00000000000001,44.0,36.0,11.120432111545815,39.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.75,17.440220396893746,80.0,14.740402285225604,65.0,48.0,36.0,17.063669412800134,43.45833333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.75,15.568647301064903,80.0,12.288541872394362,50.0,36.0,30.0,3.3331373297713385,33.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6.5,16.972260711891483,80.0,8.73704655753921,77.0,60.0,45.0,65.28612360174236,60.66666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.5,25.377003993227195,74.62299600677281,12.460737218458767,55.0,49.50000000000001,38.5,21.818662067862107,23.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6.25,13.749386994627445,80.0,13.9031572994869,66.0,50.0,36.0,25.23948522180648,44.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.5,15.274596493261283,80.0,3.1328162292010084,70.0,60.0,50.0,54.27155612796125,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,12.923560430495993,80.0,15.117474578013056,71.5,60.50000000000001,54.0,18.970846245583363,15.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.25,23.210480855537217,76.78951914446279,9.88356315183992,66.0,50.0,36.0,49.44697776809282,44.33333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,10.263293100289378,80.0,16.771594843279416,55.0,49.50000000000001,38.5,1.3654272234789648,23.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6.5,12.632056095114455,80.0,14.157709963873296,84.0,66.0,50.0,28.975260492844622,66.66666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.5,18.59049274125842,80.0,14.702783262636904,71.5,54.0,38.5,20.77951961566349,27.33333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.25,11.59869206403046,80.0,10.541592525416297,60.0,50.0,40.0,14.401889005358456,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.75,19.33924518331591,80.0,7.19045794750979,45.0,40.0,33.0,47.76340486290677,34.41666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.5,16.023051047624563,80.0,13.614911941902244,60.50000000000001,49.50000000000001,42.0,39.08258089997641,25.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.0,21.98582213774405,78.01417786225595,7.92880214709475,71.5,55.0,40.5,49.7294013211563,13.916666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.25,11.84793687985183,80.0,6.963686874219498,60.0,55.00000000000001,44.0,11.64693540793098,46.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
